index,annee,Nbre_operations_pyhto,Recolte_Annuelle
0,2015,17,8.25
1,2016,18,11.25
2,2017,21,11.0
3,2018,21,14.0
4,2019,21,11.25
5,2020,21,12.0
6,2021,21,9.5
7,2022,21,13.95
